"MODA","TEMP","DEWP","WDSP","PRCP","RH","AH","LATITUDE","LONGITUDE","Latitude","Longitude","DaySeq"
"05-28",7.3,-3.425,5.2125,1.27,53.2,3.79937917049593,37.2,102.867,38.0000001,101.9999999,148
"05-29",10.35,-2.4875,5.375,1.01333333333333,47.15,3.99135875311872,37.379125,102.894,38.0000001,101.9999999,149
"05-30",10.575,-2.8625,5.575,0.253333333333333,39.625,3.85095160272438,37.2,102.867,38.0000001,101.9999999,150
"05-31",10.1125,-2.3125,5.3375,0.765,43.05,4.00503299230298,37.2,102.867,38.0000001,101.9999999,151
"06-01",10.425,-0.2375,5.15,4.31666666666667,49.5,4.65412950567974,37.2,102.867,38.0000001,101.9999999,152
"06-02",9.575,0.8625,5.85,5.792,56.7375,5.11739656253717,37.2,102.867,38.0000001,101.9999999,153
"06-03",8.4875,0.425,5.2375,5.37833333333333,61.525,4.93119103535008,37.2,102.867,38.0000001,101.9999999,154
"06-04",9.85,-0.0499999999999999,6.2125,4.75142857142857,54.1,4.7780112918949,37.2,102.867,38.0000001,101.9999999,155
"06-05",9.825,0.475,6.2875,4.57333333333333,56.7,4.96439725281947,37.2,102.867,38.0000001,101.9999999,156
"06-06",9.075,1.45,5.7625,3.84714285714286,60.5,5.25469558608226,37.2,102.867,38.0000001,101.9999999,157
"06-07",8.475,1.6,5.7625,5.588,63.175,5.39545984333487,37.2,102.867,38.0000001,101.9999999,158
"06-08",8.725,-0.1875,4.7125,2.59,56.05,4.72505006689263,37.2,102.867,38.0000001,101.9999999,159
"06-09",8.125,0.4625,4.775,6.26666666666667,60.55,4.92669401365607,37.2,102.867,38.0000001,101.9999999,160
"06-10",8.825,0.0625,6.0125,3.555,55.4375,4.8627635679007,37.2,102.867,38.0000001,101.9999999,161
"06-11",9.8375,-0.4375,4.425,2.234,50.375,4.66353800688844,37.2,102.867,38.0000001,101.9999999,162
"06-12",11.8125,-0.2625,4.175,5.58666666666667,46.55,4.68926314857159,37.2,102.867,38.0000001,101.9999999,163
"06-13",11.2625,0.4375,5.3,1.09666666666667,49.2125,4.89091914467101,37.2,102.867,38.0000001,101.9999999,164
"06-14",11.325,1.9,5.9375,2.286,54.4125,5.43991809065495,37.2,102.867,38.0000001,101.9999999,165
"06-15",10.8375,2.5125,5.0375,0.593333333333333,58.55,5.68715037476162,37.2,102.867,38.0000001,101.9999999,166
"06-16",11.0375,2.375,4.075,1.8425,59.1875,5.68410648082551,37.2,102.867,38.0000001,101.9999999,167
"06-17",11.3375,2.625,4.7625,4.826,59.05,5.83577044985837,37.2,102.867,38.0000001,101.9999999,168
"06-18",11.175,4.825,5.25,8.892,67,6.66977846060463,37.2,102.867,38.0000001,101.9999999,169
"06-19",9.8875,4.9,5.5,8.17,73.05,6.70989806191616,37.2,102.867,38.0000001,101.9999999,170
"06-20",9.7,4.8375,5.375,11.5385714285714,72.875,6.68935758034189,37.2,102.867,38.0000001,101.9999999,171
"06-21",11.0125,3.4625,5.0875,1.48166666666667,60.8625,6.00869815488767,37.2,102.867,38.0000001,101.9999999,172
"06-22",11.6125,3.85,4.7375,3.745,60.2875,6.15706914202324,37.2,102.867,38.0000001,101.9999999,173
"06-23",10.6,4.2375,5.15,2.415,65.7375,6.37936440564334,37.2,102.867,38.0000001,101.9999999,174
"06-24",10.95,3.6625,4.8625,7.622,62.825,6.14763402933457,37.2,102.867,38.0000001,101.9999999,175
"06-25",11.05,4.975,5,12.445,67.8,6.70581988185524,37.2,102.867,38.0000001,101.9999999,176
"06-26",12.0625,5.65,4.2375,2.79428571428571,65.5625,7.0805661264177,37.2,102.867,38.0000001,101.9999999,177
"06-27",12.3,6.1625,4.875,6.74714285714286,68.675,7.3478706090077,37.2,102.867,38.0000001,101.9999999,178
"06-28",12.0625,5.8625,6.1,6.248,67.675,7.14424226728345,37.2,102.867,38.0000001,101.9999999,179
"06-29",11.925,6.3,5.0125,1.77714285714286,69.525,7.31339502510883,37.2,102.867,38.0000001,101.9999999,180
"06-30",12.675,6.25,4.9875,10.516,66.6,7.34482472705838,37.2,102.867,38.0000001,101.9999999,181
"07-01",11.7,6.5,5.1125,5.79833333333333,72.3875,7.47192602454242,37.2,102.867,38.0000001,101.9999999,182
"07-02",11.0125,6.9875,5.5125,9,78.3875,7.74839493458714,37.2,102.867,38.0000001,101.9999999,183
"07-03",11.3625,5.45,5.0375,3.44714285714286,69.7125,6.96970739788281,37.2,102.867,38.0000001,101.9999999,184
"07-04",12.1375,6.075,4.825,1.322,68.075,7.16736572848978,37.2,102.867,38.0000001,101.9999999,185
"07-05",13.1125,5.875,5.675,1.472,62.475,7.04214242667368,37.2,102.867,38.0000001,101.9999999,186
"07-06",12.8375,6.325,5.05,2.87833333333333,66.5,7.39542419461874,37.2,102.867,38.0000001,101.9999999,187
"07-07",12.075,5.8375,5.25,4.22125,67.9,7.18308180018727,37.2,102.867,38.0000001,101.9999999,188
"07-08",10.425,5.6125,5.525,5.23625,73.875,7.13281999118595,37.2,102.867,38.0000001,101.9999999,189
"07-09",10.825,5.575,5.5375,7.94714285714286,73.4125,7.17541869660759,37.2,102.867,38.0000001,101.9999999,190
"07-10",12.375,5.6625,4.925,3.92,66.4125,7.03714495462431,37.2,102.867,38.0000001,101.9999999,191
"07-11",12.5375,5.2625,4.8625,2.41333333333333,64.55,6.82700247324891,37.2,102.867,38.0000001,101.9999999,192
"07-12",12.6625,5.3625,4.7875,2.742,63.65,6.8491632921607,37.2,102.867,38.0000001,101.9999999,193
"07-13",12.8625,4.775,4.3625,2.946,59.8,6.58274800777652,37.2,102.867,38.0000001,101.9999999,194
"07-14",13.0875,4.6875,4.7625,1.30571428571429,57.8625,6.55037502011568,37.2,102.867,38.0000001,101.9999999,195
"07-15",13.3875,4.4625,4.0125,2.134,55.65,6.42241937698572,37.2,102.867,38.0000001,101.9999999,196
